PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Emabarked
1,1,2,"Brown, Miss Emma",female,30.5,0,0,SC166961,16.39,nan,S
2,1,3,"White, Mrs. Alice",female,,0,0,CA447187,5.07,D115,S
3,0,3,"Williams, Mr. James",male,14.8,0,2,SOTON287743,43.58,nan,C
4,1,3,"Johnson, Miss Clara",female,39.5,0,0,SOTON602109,1.58,E88,C
5,0,1,"Davis, Mr. Joseph",male,13.9,0,0,SOTON593734,37.48,G6,S
6,0,1,"Brown, Mr. Charles",male,39.3,0,0,A/871322,60.66,nan,S
7,1,1,"Wilson, Miss Ida",female,,1,0,SC810471,147.1,A58,S
8,0,3,"Smith, Mr. John",male,,0,2,775815,10.41,nan,C
9,0,3,"Brown, Mr. Henry",male,20.5,0,0,CA360511,36.6,F42,S
10,0,3,"Harris, Mr. Edward",male,,0,2,SC681506,,F129,S
11,0,1,"Jackson, Mr. John",male,16.3,1,0,SOTON84162,0.0,nan,S
12,0,3,"Harris, Mr. Thomas",male,,1,0,PC425524,0.0,nan,S
13,0,3,"Brown, Mr. James",male,,0,0,577306,22.88,nan,C
14,1,1,"Davis, Mr. Joseph",male,,0,1,A/670773,148.87,nan,S
15,1,1,"Miller, Mrs. Margaret",female,,0,0,CA858555,100.34,nan,S
16,1,1,"Jones, Miss Elizabeth",female,,0,0,SOTON157857,7.21,E52,S
17,0,2,"Davis, Mr. Edward",male,49.9,0,0,CA622688,13.5,nan,S
18,0,3,"Jackson, Mr. Charles",male,,1,0,601628,,E136,S
19,0,2,"Davis, Mr. John",male,,0,2,SOTON723193,41.28,nan,S
20,0,2,"Davis, Mr. John",male,31.2,1,0,CA525645,17.62,A29,Q
21,0,3,"Williams, Mr. Henry",male,18.7,0,0,SC310345,3.97,D69,S
22,0,1,"Williams, Mr. Thomas",male,18.4,0,0,PC798228,,E124,S
23,0,2,"Harris, Mr. James",male,37.3,1,0,PC445194,34.29,nan,C
24,0,2,"Smith, Mr. Thomas",male,,0,2,SOTON610766,45.48,nan,S
25,0,3,"Taylor, Mr. Henry",male,,0,0,SC242819,25.31,nan,Q
26,0,3,"White, Mr. Thomas",male,39.1,0,0,SOTON458295,27.02,nan,C
27,1,1,"Jones, Miss Ida",female,,0,1,CA250494,126.57,nan,S
28,1,3,"Davis, Miss Margaret",female,,4,0,SOTON136921,25.08,A3,S
29,0,3,"Harris, Mr. Henry",male,16.0,0,0,A/324121,16.93,nan,S
30,1,1,"Thomas, Mrs. Anna",female,24.6,3,0,683495,96.33,nan,S
31,0,3,"Harris, Mr. Joseph",male,33.5,3,0,PC504869,22.97,nan,C
32,1,1,"Moore, Mrs. Bertha",female,57.9,1,0,SOTON222043,184.72,F120,S
33,1,1,"Miller, Miss Minnie",female,,0,2,SOTON760838,116.9,B47,S
34,0,3,"Anderson, Mr. James",male,38.5,0,0,CA171932,0.0,E20,S
35,0,3,"Smith, Mr. Thomas",male,,1,0,CA837776,7.33,nan,S
36,0,3,"Jackson, Mr. James",male,37.5,0,2,CA331035,11.61,nan,S
37,0,2,"Thomas, Mr. Edward",male,42.4,0,0,A/98464,47.07,G17,C
38,0,1,"Jackson, Mr. Henry",male,25.5,0,0,429546,186.31,nan,S
39,0,3,"Davis, Mr. George",male,55.1,0,0,PC716424,12.73,nan,S
40,0,2,"Smith, Mr. Thomas",male,33.2,0,2,SOTON933774,18.33,nan,S
41,1,1,"Anderson, Mrs. Alice",female,,0,0,397873,57.08,nan,C
42,1,3,"Wilson, Mrs. Ida",female,,0,1,919531,21.3,nan,S
